memberid,schemeid,levelid,sec_type,sec_parameter,created,updated,group_sec_parameter
12831,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:05:19.766429Z,2023-11-14T10:05:19.766429Z,Active-People
14337,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:19:36.060563Z,2023-11-14T11:19:36.060563Z,Active-People
10056,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:17:23.213695Z,2023-11-14T08:17:23.213695Z,Active-People
15366,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:45:25.63609Z,2023-11-14T12:45:25.63609Z,Active-People
13920,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:45:38.459153Z,2023-11-14T10:45:38.459153Z,Active-People
10586,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:39:52.847236Z,2023-11-14T08:39:52.847236Z,Active-People
13605,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:32:53.247725Z,2023-11-14T10:32:53.247725Z,Active-People
14907,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:10:39.361393Z,2023-11-14T12:10:39.361393Z,Active-People
10892,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:52:08.247692Z,2023-11-14T08:52:08.247692Z,Active-People
12678,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:59:54.121343Z,2023-11-14T09:59:54.121343Z,Active-People
12282,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:44:53.894602Z,2023-11-14T09:44:53.894602Z,Active-People
14346,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:21:00.167099Z,2023-11-14T11:21:00.167099Z,Active-People
11658,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:20:25.999622Z,2023-11-14T09:20:25.999622Z,Active-People
13065,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:14:02.115701Z,2023-11-14T10:14:02.115701Z,Active-People
14916,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:11:51.003625Z,2023-11-14T12:11:51.003625Z,Active-People
12009,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:36:00.702954Z,2023-11-14T09:36:00.702954Z,Active-People
10793,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:47:39.879256Z,2023-11-14T08:47:39.879256Z,Active-People
15231,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:35:27.55321Z,2023-11-14T12:35:27.55321Z,Active-People
13929,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:46:14.375461Z,2023-11-14T10:46:14.375461Z,Active-People
12759,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:02:33.374939Z,2023-11-14T10:02:33.374939Z,Active-People
11027,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:57:19.074955Z,2023-11-14T08:57:19.074955Z,Active-People
14355,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:22:11.37414Z,2023-11-14T11:22:11.37414Z,Active-People
14925,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:12:43.7535Z,2023-11-14T12:12:43.7535Z,Active-People
13371,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:24:30.986928Z,2023-11-14T10:24:30.986928Z,Active-People
